word,partOfSpeech,IPA,meaning,example,exampleForQuiz
address (= deal with),verb,/ˈæˌdrɛs/,giải quyết,The location issue has not yet beenaddressed.,The location issue has not yet been_________.
adequate,adjective,/ˈædəkwət/,"thỏa đáng, đầy đủ",That level of subsidy isadequateto their needs.,That level of subsidy is_________to their needs.
adjust,verb,/əˈʤʌst/,điều chỉnh,"If the rules don’t fit the company, they have to beadjusted.","If the rules don’t fit the company, they have to be________."
aggravate,verb,/ˈæɡrəˌveɪt/,làm cho tệ hơn,Deforestationaggravatesthe effects of soil erosion.,Deforestation___________the effects of soil erosion.
basic,adjective,/ˈbeɪsɪk/,cơ bản,Basiclevel,______level
benefit,noun,/ˈbɛnəfɪt/,lợi ích,Urbanization brings economicbenefits.,Urbanization brings economic________.
booming,adjective,/ˈbumɪŋ/,đang bùng nổ,Social media jobs areboomingin all parts of the country.,Social media jobs are________in all parts of the country.
catastrophic,adjective,/ˌkætəˈstrɑfɪk/,thê thảm,Acatastrophicbook,A_____________book
cause,verb,/kɑz/,gây ra,Global warming iscausedby ecological imbalances.,Global warming is_______by ecological imbalances.
challenge,noun,/ˈʧælənʤ/,thách thức,Humanity is facing thechallengeof environmental pollution..,Humanity is facing the__________of environmental pollution..
compete,verb,/kəmˈpit/,cạnh tranh,Companiescompetingpublicly.,Companies__________publicly.
compound,verb,/ˈkɑmpaʊnd/,làm cho trầm trọng hơn,Urbanizationcompoundsenvironmental problems.,Urbanization__________environmental problems.
compromise,"n, v",/ˈkɑmprəˌmaɪz/,thỏa hiệp,The club could dissolve if the members refused tocompromise.,The club could dissolve if the members refused to__________.
crowded,adjective,/ˈkraʊdɪd/,đông đúc,Walking streets are alwayscrowdedon weekends.,Walking streets are always_______on weekends.
decent,adjective,/ˈdisənt/,"tử tế, tốt",Adecentmeal.,A_______meal.
deteriorate,verb,/dɪˈtɪriəˌreɪt/,"hư hỏng, làm hại",The debate hasdeterioratedinto a fierce quarrel.,The debate has_____________into a fierce quarrel.
developing,adjective,/dɪˈvɛləpɪŋ/,đang phát triển,Vietnam is adevelopingcountry.,Vietnam is a__________country.
difficulty,noun,/ˈdɪfəkəlti/,sự khó khăn,Japan hasdifficultybalancing its population structure.,Japan has___________balancing its population structure.
dilemma,noun,/dɪˈlɛmə/,thế tiến thoái lưỡng nan,A moraldilemma,A moral________
double-edged,adjective,/ˈdʌbəl-ɛʤd/,hai lưỡi,Adouble-edgedknife,A____________knife
enhance,verb,/ɛnˈhæns/,"nâng cao, đẩy mạnh",Enhancingthe Internet Education Network,_________the Internet Education Network
exacerbate,verb,/ɪɡˈzæsərˌbeɪt/,làm trầm trọng hơn,The interference of the mother-in-lawexacerbatesthe marriage problem.,The interference of the mother-in-law___________the marriage problem.
exclude,verb,/ɪkˈsklud/,"ngăn chặn, loại trừ",Lam has beenexcludedfrom school for bad behavior.,Lam has been_________from school for bad behavior.
flourish,verb,/ˈflɜrɪʃ/,"phát triển, thành công",There are few that canflourishin the current economic situation.,There are few that can_________in the current economic situation.
infrastructure,noun,/ˌɪnfrəˈstrʌkʧər/,cơ sở hạ tầng,Vietnam’s transportinfrastructureis not really developed.,Vietnam’s transport______________is not really developed.
inhabitant,noun,/ɪnˈhæbətənt/,cư dân,Deserted islandinhabitants,Deserted island___________
isolated,adjective,/ˈaɪsəˌleɪtɪd/,"riêng lẻ, cô lập",Anisolatedvillage,An_________village
isolation,noun,/ˌaɪsəˈleɪʃən/,"sự cô lập, riêng biệt",She experiencedisolationat school.,She experienced__________at school.
issue,noun,/ˈɪʃu/,vấn đề,Globalissues,Global______
linger,verb,/ˈlɪŋɡər/,"còn sót lại, còn thoi thóp",Some ancient customslingerin the countryside.,Some ancient customs_______in the countryside.
long-sighted,adjective,/lɔŋ-ˈsaɪtɪd/,nhìn xa trông rộngsâu rộng,The government’s new policy islong-sighted.,The government’s new policy is_____________
long-term,adjective,/ˈlɔŋˈtɜrm/,có tính dài hạn,Long-termpolicy,__________policy
megacity,noun,/ˈmeɡ.ə.sɪt̬.i/,siêu đô thị,Themegacityconsists of about 10 million or more inhabitants.,The_________consists of about 10 million or more inhabitants.
migrant,"n, v",/ˈmaɪɡrənt/,di cưngười di cư,Foreign teachers who teach English in Vietnam are oftenmigrants.,Foreign teachers who teach English in Vietnam are often________.
modify,verb,/ˈmɑdəˌfaɪ/,"thay đổi, sửa đổi (ít)",The wedding plan has beenmodified.,The wedding plan has been________.
obstacle,noun,/ˈɑbstəkəl/,chướng ngại,My biggestobstaclewas a big stone in the middle of the road.,My biggest_________was a big stone in the middle of the road.
one-sided,adjective,/wʌn-ˈsaɪdɪd/,một chiều,It’s anone-sidedwar,It’s an_________war
overpopulation,noun,/ˌoʊvərˌpɑpjəˈleɪʃən/,quá tải dân số,Overpopulationis still a distant issue as the birth rate is decreasing.,_______________is still a distant issue as the birth rate is decreasing.
overpriced,adjective,/ˈoʊvərˌpraɪst/,quá đắt,Property prices are toooverpriced.,Property prices are too___________
population,noun,/ˌpɑpjəˈleɪʃən/,dân số,Worldpopulation,World__________
poverty,noun,/ˈpɑvərti/,sự nghèo nàn,The problem ofpovertyoften occurs in rural areas.,The problem of________often occurs in rural areas.
pressing,adjective,/ˈprɛsɪŋ/,cấp bách,Pressingenvironmental pollution,_________environmental pollution
regulate,verb,/ˈrɛɡjəˌleɪt/,"điều hòa, điều chỉnh",Regulatetemperature,_________temperature
remedy ,noun,/ˈrɛmədi/,liều thuốc (cho vấn đề),Finance is theremedyfor the current situation.,Finance is the_______for the current situation.
resolution,noun,/ˌrɛzəˈluʃən/,sự kiên quyếtnghị quyết,Resolutionon interest rates,__________on interest rates
rural,adjective,/ˈrʊrəl/,(thuộc) nông thôn,Vietnam’sruralareas also have wifi.,Vietnam’s______areas also have wifi.
setback,noun,/ˈsɛtˌbæk/,"bước lùi, sự chậm trễ",There has been a slightsetbackin our plans.,There has been a slight________in our plans.
short-sighted,adjective,/ˈʃɔrtˈsaɪtɪd/,"thiển cận, thiếu tầm nhìn",Short-sightedthinking,_____________thinking
short-term,adjective,/ˈʃɔrtˌtɜrm/,ngắn hạn,Short-termstudy abroad,__________study abroad
slum,noun,/slʌm/,nhà ổ chuột,There’re manyslumsin Africa.,There’re many______in Africa.
solution,noun,/səˈluʃən/,giải pháp,Calmness is thesolutionto every problem.,Calmness is the________to every problem.
staggering,adjective,/ˈstæɡərɪŋ/,"choáng ngợp, sửng sốt",Astaggeringachievement.,A__________achievement.
tolerance,noun,/ˈtɑlərəns/,sự khoan dung,There is notolerancefor those people who divide the country!,There is no__________for those people who divide the country!
tolerant,adjective,/ˈtɑlərənt/,khoan dung,Animal lovers are usually verytolerant.,Animal lovers are usually very________.
