word,partOfSpeech,IPA,meaning,example,exampleForQuiz
rain,noun,/reɪn/,mưa,Rain is falling outside.,____ is falling outside.
sun,noun,/sʌn/,mặt trời,The sun is shining brightly.,The ____ is shining brightly.
wind,noun,/wɪnd/,gió,The wind is very strong today.,The ____ is very strong today.
cloud,noun,/klaʊd/,mây,There is a big cloud in the sky.,There is a big ____ in the sky.
snow,noun,/snəʊ/,tuyết,Snow covers the ground in winter.,____ covers the ground in winter.
storm,noun,/stɔːm/,bão,A storm is coming.,A ____ is coming.
fog,noun,/fɒɡ/,sương mù,The fog makes it hard to see.,The ____ makes it hard to see.
thunder,noun,/ˈθʌn.dər/,sấm,Thunder is loud during the storm.,____ is loud during the storm.
lightning,noun,/ˈlaɪt.nɪŋ/,chớp, tia chớp,Lightning struck the tree.,____ struck the tree.
temperature,noun,/ˈtem.prə.tʃər/,nhiệt độ,The temperature is very high today.,The ____ is very high today.
weather,noun,/ˈweð.ər/,thời tiết,The weather is nice.,The ____ is nice.
hot,adjective,/hɒt/,nóng,It is hot in summer.,It is ____ in summer.
cold,adjective,/kəʊld/,lạnh,It is cold in winter.,It is ____ in winter.
warm,adjective,/wɔːm/,ấm áp,The room feels warm.,The room feels ____.
cool,adjective,/kuːl/,mát mẻ,The night is cool.,The night is ____.
season,noun,/ˈsiː.zən/,mùa,Spring is my favorite season.,Spring is my favorite ____.
spring,noun,/sprɪŋ/,mùa xuân,Flowers bloom in spring.,Flowers bloom in ____.
summer,noun,/ˈsʌm.ər/,mùa hè,We go swimming in summer.,We go swimming in ____.
autumn,noun,/ˈɔː.təm/,mùa thu,Leaves fall in autumn.,Leaves fall in ____.
winter,noun,/ˈwɪn.tər/,mùa đông,It snows in winter.,It snows in ____.
mountain,noun,/ˈmaʊn.tɪn/,núi,They climbed the mountain.,They climbed the ____.
river,noun,/ˈrɪv.ər/,sông,The river is very long.,The ____ is very long.
lake,noun,/leɪk/,hồ,We went fishing by the lake.,We went fishing by the ____.
sea,noun,/siː/,biển,The sea is blue.,The ____ is blue.
forest,noun,/ˈfɒr.ɪst/,rừng,The forest is full of trees.,The ____ is full of trees.
tree,noun,/triː/,cây,Birds live in the tree.,Birds live in the ____.
flower,noun,/ˈflaʊ.ər/,hoa,The flower smells good.,The ____ smells good.
leaf,noun,/liːf/,lá cây,A leaf fell on the ground.,A ____ fell on the ground.
grass,noun,/ɡrɑːs/,cỏ,The grass is green.,The ____ is green.
rock,noun,/rɒk/,đá,He threw a rock into the river.,He threw a ____ into the river.
