word,partOfSpeech,IPA,meaning,example,exampleForQuiz
red,adjective,/red/,màu đỏ,The apple is red.,The apple is ____.
blue,adjective,/bluː/,màu xanh dương,She wore a blue dress.,She wore a ____ dress.
yellow,adjective,/ˈjel.əʊ/,màu vàng,The sun is yellow.,The sun is ____.
green,adjective,/ɡriːn/,màu xanh lá cây,Grass is green.,Grass is ____.
black,adjective,/blæk/,màu đen,He has black hair.,He has ____ hair.
white,adjective,/waɪt/,màu trắng,Snow is white.,Snow is ____.
pink,adjective,/pɪŋk/,màu hồng,She likes pink flowers.,She likes ____ flowers.
orange,adjective,/ˈɒr.ɪndʒ/,màu cam,He bought an orange shirt.,He bought an ____ shirt.
brown,adjective,/braʊn/,màu nâu,The bear is brown.,The bear is ____.
purple,adjective,/ˈpɜː.pəl/,màu tím,She painted her nails purple.,She painted her nails ____.
gray,adjective,/ɡreɪ/,màu xám,The sky is gray today.,The sky is ____ today.
circle,noun,/ˈsɜː.kəl/,hình tròn,Draw a circle on the paper.,Draw a ____ on the paper.
square,noun,/skweər/,hình vuông,This box is a square.,This box is a ____.
triangle,noun,/ˈtraɪ.æŋ.ɡl/,hình tam giác,A slice of pizza is a triangle.,A slice of pizza is a ____.
rectangle,noun,/ˈrek.tæŋ.ɡl/,hình chữ nhật,The classroom is a rectangle.,The classroom is a ____.
star,noun,/stɑːr/,ngôi sao (hình, vật thể),She drew a star on her notebook.,She drew a ____ on her notebook.
diamond,noun,/ˈdaɪ.mənd/,hình thoi, kim cương,The kite is shaped like a diamond.,The kite is shaped like a ____.
oval,noun,/ˈəʊ.vəl/,hình bầu dục,An egg is an oval shape.,An egg is an ____ shape.
heart,noun,/hɑːt/,hình trái tim,She drew a heart on the card.,She drew a ____ on the card.
hexagon,noun,/ˈhek.sə.ɡən/,hình lục giác,A honeycomb is made of hexagons.,A honeycomb is made of ____.
line,noun,/laɪn/,đường thẳng,Draw a straight line.,Draw a straight ____.
dot,noun,/dɒt/,chấm, điểm,Put a dot at the end of the sentence.,Put a ____ at the end of the sentence.
curve,noun,/kɜːv/,đường cong,Draw a curve below the line.,Draw a ____ below the line.
edge,noun,/edʒ/,cạnh (hình học),A cube has twelve edges.,A cube has twelve ____.
corner,noun,/ˈkɔː.nər/,góc (hình học),A square has four corners.,A square has four ____.
pattern,noun,/ˈpæt.ən/,mẫu, hoa văn,She likes the pattern on the dress.,She likes the ____ on the dress.
colorful,adjective,/ˈkʌl.ə.fəl/,nhiều màu sắc,The balloons are colorful.,The balloons are ____.
light,adjective,/laɪt/,màu sáng,She likes light colors.,She likes ____ colors.
dark,adjective,/dɑːk/,màu tối,He wears dark clothes to work.,He wears ____ clothes to work.
shape,noun,/ʃeɪp/,hình dạng,What shape is this object?,What ____ is this object?
