word,partOfSpeech,IPA,meaning,example,exampleForQuiz
doctor,noun,/ˈdɒk.tər/,bác sĩ,The doctor works at the hospital.,The ____ works at the hospital.
nurse,noun,/nɜːs/,y tá,The nurse helps patients.,The ____ helps patients.
teacher,noun,/ˈtiː.tʃər/,giáo viên,My teacher is very friendly.,My ____ is very friendly.
student,noun,/ˈstjuː.dənt/,học sinh, sinh viên,The student studies hard.,The ____ studies hard.
engineer,noun,/ˌen.dʒɪˈnɪər/,kỹ sư,My father is an engineer.,My father is an ____.
policeman,noun,/pəˈliːs.mən/,cảnh sát,The policeman is directing traffic.,The ____ is directing traffic.
policewoman,noun,/pəˈliːsˌwʊm.ən/,nữ cảnh sát,The policewoman helped the children.,The ____ helped the children.
firefighter,noun,/ˈfaɪəˌfaɪ.tər/,lính cứu hỏa,The firefighter rescued a cat.,The ____ rescued a cat.
driver,noun,/ˈdraɪ.vər/,tài xế,The driver is waiting outside.,The ____ is waiting outside.
chef,noun,/ʃef/,đầu bếp,The chef cooks delicious food.,The ____ cooks delicious food.
farmer,noun,/ˈfɑː.mər/,nông dân,The farmer grows rice.,The ____ grows rice.
worker,noun,/ˈwɜː.kər/,công nhân,Workers build houses.,____ build houses.
artist,noun,/ˈɑː.tɪst/,họa sĩ, nghệ sĩ,The artist paints beautiful pictures.,The ____ paints beautiful pictures.
singer,noun,/ˈsɪŋ.ər/,ca sĩ,She is a famous singer.,She is a famous ____.
actor,noun,/ˈæk.tər/,nam diễn viên,The actor is in a movie.,The ____ is in a movie.
actress,noun,/ˈæk.trəs/,nữ diễn viên,The actress won an award.,The ____ won an award.
pilot,noun,/ˈpaɪ.lət/,phi công,The pilot flies the plane.,The ____ flies the plane.
waiter,noun,/ˈweɪ.tər/,bồi bàn nam,The waiter brings our food.,The ____ brings our food.
waitress,noun,/ˈweɪ.trəs/,bồi bàn nữ,The waitress is friendly.,The ____ is friendly.
manager,noun,/ˈmæn.ɪ.dʒər/,quản lý,The manager leads the team.,The ____ leads the team.
scientist,noun,/ˈsaɪən.tɪst/,nhà khoa học,The scientist discovers new things.,The ____ discovers new things.
journalist,noun,/ˈdʒɜː.nə.lɪst/,nhà báo,The journalist writes news articles.,The ____ writes news articles.
lawyer,noun,/ˈlɔɪ.ər/,luật sư,The lawyer gives legal advice.,The ____ gives legal advice.
dentist,noun,/ˈden.tɪst/,nha sĩ,The dentist checks my teeth.,The ____ checks my teeth.
shop assistant,noun,/ʃɒp əˈsɪs.tənt/,nhân viên bán hàng,The shop assistant helps customers.,The ____ helps customers.
photographer,noun,/fəˈtɒɡ.rə.fər/,nhiếp ảnh gia,The photographer takes beautiful photos.,The ____ takes beautiful photos.
builder,noun,/ˈbɪl.dər/,thợ xây,The builder is working on the roof.,The ____ is working on the roof.
cleaner,noun,/ˈkliː.nər/,nhân viên dọn dẹp,The cleaner cleans the office.,The ____ cleans the office.
mechanic,noun,/mɪˈkæn.ɪk/,thợ sửa máy,The mechanic repairs cars.,The ____ repairs cars.
guard,noun,/ɡɑːd/,bảo vệ,The guard stands at the gate.,The ____ stands at the gate.
