word,partOfSpeech,IPA,meaning,example,exampleForQuiz
student,noun,/ˈstjuː.dənt/,học sinh, sinh viên,The student is reading a book.,The ____ is reading a book.
teacher,noun,/ˈtiː.tʃər/,giáo viên,Her teacher is very kind.,Her ____ is very kind.
school,noun,/skuːl/,trường học,My school is near my house.,My ____ is near my house.
lesson,noun,/ˈles.ən/,bài học,We have a math lesson today.,We have a math ____ today.
classroom,noun,/ˈklɑːs.ruːm/,lớp học,The classroom is big and bright.,The ____ is big and bright.
homework,noun,/ˈhəʊm.wɜːk/,bài tập về nhà,I finished my homework.,I finished my ____.
exam,noun,/ɪɡˈzæm/,kỳ thi,We have an English exam tomorrow.,We have an English ____ tomorrow.
library,noun,/ˈlaɪ.brər.i/,thư viện,The library has many books.,The ____ has many books.
subject,noun,/ˈsʌb.dʒɪkt/,môn học,Math is my favorite subject.,Math is my favorite ____.
book,noun,/bʊk/,sách,She is reading a book.,She is reading a ____.
notebook,noun,/ˈnəʊt.bʊk/,vở ghi,Write your answer in the notebook.,Write your answer in the ____.
pen,noun,/pen/,bút mực,He writes with a blue pen.,He writes with a blue ____.
pencil,noun,/ˈpen.səl/,bút chì,Sharpen your pencil.,Sharpen your ____.
eraser,noun,/ɪˈreɪ.sər/,cục tẩy,I need an eraser to correct my mistake.,I need an ____ to correct my mistake.
ruler,noun,/ˈruː.lər/,thước kẻ,Use a ruler to draw a straight line.,Use a ____ to draw a straight line.
desk,noun,/desk/,bàn học,She keeps her desk tidy.,She keeps her ____ tidy.
chair,noun,/tʃeər/,ghế,He is sitting on a chair.,He is sitting on a ____.
blackboard,noun,/ˈblæk.bɔːd/,bảng đen,The teacher writes on the blackboard.,The teacher writes on the ____.
chalk,noun,/tʃɔːk/,phấn viết bảng,She draws with white chalk.,She draws with white ____.
principal,noun,/ˈprɪn.sə.pəl/,hiệu trưởng,The principal welcomed new students.,The ____ welcomed new students.
uniform,noun,/ˈjuː.nɪ.fɔːm/,đồng phục,We wear a uniform at school.,We wear a ____ at school.
test,noun,/test/,bài kiểm tra,He passed the test.,He passed the ____.
grade,noun,/ɡreɪd/,điểm số, lớp (cấp học),She got a good grade in math.,She got a good ____ in math.
schedule,noun,/ˈʃed.juːl/,thời khóa biểu,Check your schedule for tomorrow.,Check your ____ for tomorrow.
question,noun,/ˈkwes.tʃən/,câu hỏi,She asked a difficult question.,She asked a difficult ____.
answer,noun,/ˈɑːn.sər/,câu trả lời,He gave the correct answer.,He gave the correct ____.
dictionary,noun,/ˈdɪk.ʃən.er.i/,từ điển,Look up the word in the dictionary.,Look up the word in the ____.
science,noun,/ˈsaɪ.əns/,khoa học,Science is an interesting subject.,____ is an interesting subject.
history,noun,/ˈhɪs.tər.i/,lịch sử,I love learning about history.,I love learning about ____.
geography,noun,/dʒiˈɒɡ.rə.fi/,địa lý,Geography teaches us about the world.,____ teaches us about the world.
