word,partOfSpeech,IPA,meaning,example,exampleForQuiz
apple,noun,/ˈæp.əl/,quả táo,She eats an apple every morning.,She eats an ____ every morning.
banana,noun,/bəˈnɑː.nə/,quả chuối,Bananas are rich in potassium.,____ are rich in potassium.
bread,noun,/bred/,bánh mì,I had bread and butter for breakfast.,I had ____ and butter for breakfast.
rice,noun,/raɪs/,cơm, gạo,Vietnamese people eat rice daily.,Vietnamese people eat ____ daily.
chicken,noun,/ˈtʃɪk.ɪn/,thịt gà, con gà,She likes fried chicken.,She likes fried ____.
milk,noun,/mɪlk/,sữa,He drinks a glass of milk every night.,He drinks a glass of ____ every night.
egg,noun,/eɡ/,trứng,I want two eggs for breakfast.,I want two ____ for breakfast.
fish,noun,/fɪʃ/,cá,Fish is good for your health.,____ is good for your health.
cheese,noun,/tʃiːz/,phô mai,Would you like some cheese on your pizza?,Would you like some ____ on your pizza?
beef,noun,/biːf/,thịt bò,Beef is more expensive than chicken.,____ is more expensive than chicken.
pork,noun,/pɔːk/,thịt lợn,She doesn't eat pork.,She doesn't eat ____.
noodles,noun,/ˈnuː.dlz/,mì,I often eat noodles for lunch.,I often eat ____ for lunch.
soup,noun,/suːp/,súp,Chicken soup is delicious.,Chicken ____ is delicious.
water,noun,/ˈwɔː.tər/,nước,Drink water to stay healthy.,Drink ____ to stay healthy.
juice,noun,/dʒuːs/,nước ép,I like orange juice.,I like orange ____.
coffee,noun,/ˈkɒf.i/,cà phê,Coffee helps me stay awake.,____ helps me stay awake.
tea,noun,/tiː/,trà,She drinks tea every afternoon.,She drinks ____ every afternoon.
carrot,noun,/ˈkær.ət/,cà rốt,Rabbits love carrots.,Rabbits love ____.
potato,noun,/pəˈteɪ.təʊ/,khoai tây,Potatoes can be fried or boiled.,____ can be fried or boiled.
onion,noun,/ˈʌn.jən/,hành tây,He cried while cutting onions.,He cried while cutting ____.
tomato,noun,/təˈmɑː.təʊ/,cà chua,Tomatoes are used in salads.,____ are used in salads.
pepper,noun,/ˈpep.ər/,ớt (hoặc tiêu),Would you like some pepper on your food?,Would you like some ____ on your food?
salt,noun,/sɒlt/,muối,Add a pinch of salt to the soup.,Add a pinch of ____ to the soup.
chocolate,noun,/ˈtʃɒk.lət/,sô cô la,Chocolate is sweet and delicious.,____ is sweet and delicious.
cake,noun,/keɪk/,bánh ngọt,She baked a chocolate cake.,She baked a chocolate ____.
ice cream,noun,/aɪs kriːm/,kem,Kids love eating ice cream in summer.,Kids love eating ____ in summer.
sandwich,noun,/ˈsæn.wɪtʃ/,bánh mì kẹp,I have a sandwich for lunch.,I have a ____ for lunch.
pizza,noun,/ˈpiːt.sə/,bánh pizza,Pizza is an Italian dish.,____ is an Italian dish.
hamburger,noun,/ˈhæmˌbɜː.ɡər/,bánh hamburger,He wants a hamburger and fries.,He wants a ____ and fries.
sausage,noun,/ˈsɒs.ɪdʒ/,xúc xích,Sausage is made from ground meat.,____ is made from ground meat.
