word,partOfSpeech,IPA,meaning,example,exampleForQuiz
achievable,adjective,/əˈʧivəbəl/,có thể đạt được,Reducing household waste is anachievablegoal.,Reducing household waste is an___________goal.
acid rain,noun,/ˈæsəd reɪn/,mưa axit,Acid rainaffects human health and the atmosphere,__________affects human health and the atmosphere
advantageous,adjective,/ˌædvənˈteɪʤəs/,có lợi,Planting trees isadvantageousto the environment.,Planting trees is_____________to the environment.
at risk (= in danger),adjective,/æt rɪsk /,bị đe dọa,At-riskareas residents move to secret shelters.,_______areas residents move to secret shelters.
beneficial,adjective,/ˌbɛnəˈfɪʃəl/,"có ích, có lợi",Abeneficialpolicy,A___________policy
biodiversity,noun,/ˌbaɪoʊdaɪˈvɜrsəti/,sự đa dạng sinh học,Thebiodiversityfund hasn’t actually been used effectively.,The_____________fund hasn’t actually been used effectively.
chronic,adjective,/ˈkrɑnɪk/,kinh niên,A polluted living environment can causechronicdiseases.,A polluted living environment can cause________diseases.
conceivable,adjective,/kənˈsivəbəl/,"có thể tưởng tượng, có vẻ như",It’s justconceivablethat the government made a mistake.,It’s just____________that the government made a mistake.
confront,verb,/kənˈfrʌnt/,"đối đầu, đối chất",He forced the country toconfrontthe issue of inflation.,He forced the country to_________the issue of inflation.
contaminated,adjective,/kənˈtæməˌneɪtɪd/,bị ô nhiễm,A rivercontaminatedby garbage,A river_____________by garbage
contamination,noun,/kənˌtæməˈneɪʃən/,sự ô nhiễm,Water supplycontamination,Water supply_____________
deforestation,noun,/dɪˌfɔrɪˈsteɪʃən/,sự phá rừng,Deforestationcan lead to severe soil erosion.,______________can lead to severe soil erosion.
devastating,adjective,/ˈdɛvəˌsteɪtɪŋ/,có sức tàn phá,Adevastatingtsunami can destroy an entire city.,A____________tsunami can destroy an entire city.
disposal,noun,/dɪˈspoʊzəl/,"sự vứt bỏ, xử lý",The greenhouse effect releases large amounts ofgreenhouse gases.,The greenhouse effect releases large amounts of_________________
dispose of,verb,/dɪˈspoʊz ʌv/,giải quyếtvứt bỏ,Every day he mustdispose ofthe oil his restaurant uses to fry food.,Every day he must___________the oil his restaurant uses to fry food.
doubtful,adjective,/ˈdaʊtfəl/,khó có thểkhả nghi,It wasdoubtfulthat the green revolution would be 100% successful.,It was_________that the green revolution would be 100% successful.
drought,noun,/draʊt/,hạn hán,Droughtis the lack of rain for months.,________is the lack of rain for months.
ecosystem,noun,/ˈikoʊˌsɪstəm/,hệ sinh thái,The marineecosystem,The marine_________
emission,noun,/ɪˈmɪʃən/,"sự phát ra, sự thải ra",Carbonemissions,Carbon_________
environmental,adjective,/ɪnˌvaɪrənˈmɛntəl/,(thuộc) môi trường,Environmentalproblems,______________problems
environmentally friendly,adjective,/ɪnˌvaɪrənˈmɛntəli ˈfrɛndli/,thân thiện với môi trường,Environmentally friendlyrecycled products,_________________________recycled products
erosion,noun,/ɪˈroʊʒən/,"sự ăn mòn, xói mòn",Soil erosion,Soil erosion
exhaust,noun,/ɪɡˈzɑst/,"khí thải, khói thải",Smokeexhaustfrom the fire,Smoke________from the fire
feasible,adjective,/ˈfizəbəl/,khả thi,Afeasiblesolution,A_________solution
fertilizer,noun,/ˈfɜrtəˌlaɪzər/,phân bón,Organicfertilizer,Organic__________
flood,noun,/flʌd/,lũ lụt,Central Vietnam suffers manyfloodsevery year.,Central Vietnam suffers many_______every year.
