word,partOfSpeech,IPA,meaning,example,exampleForQuiz
wake up,verb,/weɪk ʌp/,thức dậy,I wake up at 6 o'clock.,I ____ at 6 o'clock.
get up,verb,/ɡet ʌp/,ra khỏi giường,He gets up early every day.,He ____ early every day.
brush,verb,/brʌʃ/,đánh (răng), chải (tóc),She brushes her teeth after meals.,She ____ her teeth after meals.
wash,verb,/wɒʃ/,rửa, giặt,He washes his face in the morning.,He ____ his face in the morning.
take a shower,verb,/teɪk ə ˈʃaʊ.ər/,tắm vòi sen,I take a shower every night.,I ____ every night.
have breakfast,verb,/hæv ˈbrek.fəst/,ăn sáng,They have breakfast together.,They ____ together.
go to school,verb,/ɡəʊ tuː skuːl/,đi học,The children go to school at 7 a.m.,The children ____ at 7 a.m.
study,verb,/ˈstʌd.i/,học,She studies English every day.,She ____ English every day.
read,verb,/riːd/,đọc,He reads books in his free time.,He ____ books in his free time.
write,verb,/raɪt/,viết,I write a diary every day.,I ____ a diary every day.
go home,verb,/ɡəʊ həʊm/,về nhà,She goes home after school.,She ____ after school.
watch TV,verb,/wɒtʃ ˌtiːˈviː/,xem tivi,They watch TV in the evening.,They ____ in the evening.
listen to music,verb,/ˈlɪs.ən tuː ˈmjuː.zɪk/,nghe nhạc,He listens to music while studying.,He ____ while studying.
play,verb,/pleɪ/,chơi,The boy plays with his dog.,The boy ____ with his dog.
do homework,verb,/duː ˈhəʊm.wɜːk/,làm bài tập về nhà,She does homework after dinner.,She ____ after dinner.
cook,verb,/kʊk/,nấu ăn,My mother cooks dinner every day.,My mother ____ dinner every day.
clean,verb,/kliːn/,dọn dẹp, làm sạch,He cleans his room on Sundays.,He ____ his room on Sundays.
wash the dishes,verb,/wɒʃ ðə ˈdɪʃ.ɪz/,rửa bát,I wash the dishes after meals.,I ____ after meals.
go to bed,verb,/ɡəʊ tuː bed/,đi ngủ,She goes to bed at 10 p.m.,She ____ at 10 p.m.
sleep,verb,/sliːp/,ngủ,I sleep for eight hours every night.,I ____ for eight hours every night.
visit,verb,/ˈvɪz.ɪt/,thăm,They visit their grandparents on Sundays.,They ____ their grandparents on Sundays.
call,verb,/kɔːl/,gọi điện,He calls his friend every evening.,He ____ his friend every evening.
shop,verb,/ʃɒp/,mua sắm,She shops at the supermarket.,She ____ at the supermarket.
drive,verb,/draɪv/,lái xe,My father drives to work.,My father ____ to work.
ride a bike,verb,/raɪd ə baɪk/,đạp xe,He rides a bike to school.,He ____ to school.
exercise,verb,/ˈek.sə.saɪz/,tập thể dục,She exercises every morning.,She ____ every morning.
swim,verb,/swɪm/,bơi,They swim in the pool.,They ____ in the pool.
draw,verb,/drɔː/,vẽ,She draws beautiful pictures.,She ____ beautiful pictures.
sing,verb,/sɪŋ/,hát,He sings very well.,He ____ very well.
